Customer_ID,Full_Name,Contact_Number,Email,Address,Age,Gender,Marital_Status,Employment_Status,Annual_Income,Credit_Score,Region,Account_Tenure,Relationship_Manager_ID
C000001,Shayak Kumar,1549750578,saxenaindrans@gopal-krishnan.com,"27/062
Sangha Nagar, Bongaigaon 736150",53,Male,Single,Unemployed,886810,433,North,12 Years,RM0015
C000002,Divij Ghosh,02121540709,ramanindranil@tella.com,"H.No. 20, Edwin Circle
Katihar 892167",62,Female,Single,Self-Employed,396746,418,West,10 Years,RM0276
C000003,Rhea Bhargava,+910320534937,bahlelakshi@mall.info,"67/386
Comar Nagar, Chapra 137669",62,Other,Single,Self-Employed,1118591,736,Northeast,9 Years,RM0098
C000004,Indrans Walia,06566372162,akadakia@yahoo.com,"88
Dhillon Ganj
Jamshedpur-816278",59,Female,Single,Salaried,524075,353,Central,11 Years,RM0231
C000005,Saanvi Chad,9281095585,arhaan11@master.net,"011, Kunda Marg
Hyderabad-505161",56,Male,Single,Self-Employed,1219355,735,West,1 Years,RM0107
C000006,Bhamini Bawa,+912231735063,janihansh@karnik.info,"912, Ahuja Circle, Kottayam 266014",37,Male,Married,Self-Employed,1275817,687,Northeast,6 Years,RM0427
C000007,Dishani Dube,6144096314,ngala@yahoo.com,"03/41
Badami Circle
Alappuzha 624834",39,Male,Divorced,Self-Employed,1237215,548,Central,5 Years,RM0213
C000008,Zara Srivastava,1917487424,taranbobal@hotmail.com,"H.No. 87, Sengupta Circle, Bettiah-264674",67,Male,Divorced,Salaried,1894653,648,East,8 Years,RM0368
C000009,Farhan Chaudhry,01592500648,jayesh59@gmail.com,"65/64
Kaul Zila, Thoothukudi-744570",26,Male,Single,Salaried,696254,372,East,6 Years,RM0280
C000010,Shaan Varkey,2945937816,anay74@gmail.com,"52/94
Ganesan Chowk
Dibrugarh-707491",60,Other,Divorced,Salaried,1734948,789,East,15 Years,RM0138
C000011,Neelofar Mand,+917967720834,reyansh64@hans-manne.com,"82
Goel Street, Kurnool 382049",67,Male,Married,Salaried,1694160,641,North,12 Years,RM0004
C000012,Zara Garde,9391704199,dubekaira@verma-dass.biz,"H.No. 66, Bassi Nagar, Kanpur-982598",19,Other,Married,Salaried,1538472,627,South,11 Years,RM0434
C000013,Ahana  Raman,+914114393937,raunakvala@hotmail.com,"18/75, Setty Path, Ghaziabad 701570",60,Male,Divorced,Self-Employed,1245092,460,North,5 Years,RM0341
C000014,Vaibhav Deshpande,07189222914,ishaan07@hotmail.com,"H.No. 947, Devan Road, Kirari Suleman Nagar-403201",37,Male,Married,Unemployed,495061,604,Central,1 Years,RM0239
C000015,Amani Mallick,8973170186,sarankavya@hotmail.com,"99/757
Randhawa Marg
Tenali 091568",55,Female,Divorced,Self-Employed,525476,610,East,1 Years,RM0260
C000016,Dhruv Banerjee,09686609390,brastogi@dass.biz,"78/05
Bhatnagar Ganj, Sambhal-783024",61,Male,Married,Self-Employed,1597253,401,Central,5 Years,RM0151
C000017,Purab Thaker,05962588263,arnavsom@hotmail.com,"77, Gaba Nagar, Aligarh 955025",60,Male,Married,Self-Employed,1776242,757,South,8 Years,RM0378
C000018,Saanvi Kalita,00577044677,ojas70@sarma.com,"39
Chander Zila, Pondicherry-955148",35,Female,Married,Salaried,554487,762,North,13 Years,RM0137
C000019,Gatik Kashyap,4950664352,armaan51@yahoo.com,"75/509
Vaidya Road, Amaravati-807304",67,Male,Single,Self-Employed,339216,316,South,14 Years,RM0323
